Scheme           mu   n  i VM             |     Commit       Open     Prover |     Verify      Proof       Comm     CV |             Time
-----------------------------------------------------------------------------------------------------------------------------------------
dBasefold-PCS    21   2 10 e2-highmem-8   |      2.47s      1.34s      3.82s |     74.4ms     9.99MB     9.99MB     1% | 2026-02-02 22:36
dBasefold-PCS    22   2 10 e2-highmem-8   |      5.10s      2.69s      7.80s |     87.8ms    11.81MB    11.81MB     2% | 2026-02-02 22:38
dBasefold-PCS    23   2 10 e2-highmem-8   |     10.55s      5.38s     15.93s |    104.0ms    13.98MB    13.98MB     1% | 2026-02-02 22:41
dBasefold-PCS    24   2 10 e2-highmem-8   |     21.59s     10.77s     32.36s |    119.5ms    16.58MB    16.58MB     1% | 2026-02-02 22:47
dBasefold-PCS    25   2 10 e2-highmem-8   |     44.66s     21.43s     66.09s |    142.8ms    19.77MB    19.77MB     1% | 2026-02-02 22:59
dBasefold-PCS    22   4 10 e2-highmem-4   |      2.43s      1.34s      3.78s |     72.6ms     9.99MB    29.97MB     2% | 2026-02-02 16:05
dBasefold-PCS    23   4 10 e2-highmem-4   |      4.96s      2.65s      7.61s |     85.4ms    11.81MB    35.43MB     2% | 2026-02-02 16:07
dBasefold-PCS    24   4 10 e2-highmem-4   |     10.41s      5.28s     15.68s |    101.6ms    13.98MB    41.95MB     2% | 2026-02-02 16:10
dBasefold-PCS    25   4 10 e2-highmem-4   |     20.97s     10.56s     31.53s |    117.4ms    16.58MB    49.75MB     1% | 2026-02-02 16:16
dBasefold-PCS    26   4 10 e2-highmem-4   |     44.04s     21.51s     65.56s |    141.9ms    19.77MB    59.30MB     1% | 2026-02-02 16:29
dBasefold-PCS    23   8 10 e2-highmem-4   |      2.93s      1.73s      4.66s |     87.0ms     9.99MB    69.93MB     2% | 2026-02-02 02:11
dBasefold-PCS    24   8 10 e2-highmem-4   |      6.16s      3.35s      9.52s |    102.9ms    11.81MB    82.66MB     3% | 2026-02-02 02:13
dBasefold-PCS    25   8 10 e2-highmem-4   |     12.70s      6.70s     19.40s |    119.4ms    13.98MB    97.88MB     3% | 2026-02-02 02:17
dBasefold-PCS    26   8 10 e2-highmem-4   |     26.19s     13.42s     39.61s |    138.9ms    16.58MB   116.08MB     3% | 2026-02-02 02:24
dBasefold-PCS    27   8  5 e2-highmem-4   |     62.29s     27.31s     89.60s |    163.5ms    19.77MB   138.37MB   24%~ | 2026-02-02 01:50
dBasefold-PCS    25  16 10 e2-highmem-2   |      5.52s      3.23s      8.75s |     96.9ms    11.81MB   177.13MB   15%~ | 2026-02-01 08:19
dBasefold-PCS    26  16 10 e2-highmem-2   |     11.00s      5.86s     16.87s |    104.7ms    13.98MB   209.75MB     5% | 2026-02-01 08:23
dBasefold-PCS    27  16 10 e2-highmem-2   |     22.39s     12.01s     34.41s |    128.3ms    16.58MB   248.74MB   10%~ | 2026-02-01 08:32
dDory-PCS        10   2 10 e2-highmem-8   |     38.8ms    238.3ms    277.1ms |     30.1ms    16.13KB    17.56KB     1% | 2026-02-02 22:59
dDory-PCS        11   2 10 e2-highmem-8   |     69.0ms    262.3ms    331.3ms |     30.4ms    16.13KB    17.62KB     4% | 2026-02-02 23:00
dDory-PCS        12   2 10 e2-highmem-8   |     96.1ms    427.4ms    523.5ms |     32.7ms    18.67KB    20.73KB     4% | 2026-02-02 23:01
dDory-PCS        13   2 10 e2-highmem-8   |    217.8ms    475.5ms    693.3ms |     32.5ms    18.67KB    20.80KB     1% | 2026-02-02 23:01
dDory-PCS        14   2 10 e2-highmem-8   |    345.4ms    793.4ms      1.14s |     34.8ms    21.20KB    23.91KB     1% | 2026-02-02 23:03
dDory-PCS        15   2 10 e2-highmem-8   |    687.6ms    885.2ms      1.57s |     35.2ms    21.20KB    23.97KB     0% | 2026-02-02 23:05
