Scheme,mu,Parties,Iterations,VM,Commit (ms),Open (ms),Prover (ms),Verify (ms),Proof Size (KB),Comm (bytes),CV (%),Timestamp
dBasefold-PCS,21,2,10,e2-highmem-8,2473.42,1343.89,3817.32,74.39,10229.19,10474822,1.3,2026-02-02 22:36
dBasefold-PCS,22,2,10,e2-highmem-8,5103.99,2691.26,7795.25,87.83,12091.92,12382262,1.5,2026-02-02 22:38
dBasefold-PCS,22,4,10,e2-highmem-4,2432.24,1342.79,3775.03,72.58,10229.19,31424394,2.3,2026-02-02 16:05
dBasefold-PCS,23,2,10,e2-highmem-8,10549.73,5379.42,15929.15,104.03,14318.75,14662534,1.5,2026-02-02 22:41
dBasefold-PCS,23,4,10,e2-highmem-4,4963.22,2649.71,7612.93,85.35,12091.92,37146714,1.5,2026-02-02 16:07
dBasefold-PCS,23,8,10,e2-highmem-4,2928.53,1728.64,4657.17,87.00,10229.19,73323538,1.7,2026-02-02 02:11
dBasefold-PCS,24,2,10,e2-highmem-8,21591.30,10769.40,32360.69,119.47,16980.58,17388246,0.8,2026-02-02 22:47
dBasefold-PCS,24,4,10,e2-highmem-4,10405.16,5278.60,15683.76,101.58,14318.75,43987530,2.3,2026-02-02 16:10
dBasefold-PCS,24,8,10,e2-highmem-4,6160.30,3354.82,9515.13,102.92,12091.92,86675618,2.9,2026-02-02 02:13
dBasefold-PCS,25,2,10,e2-highmem-8,44657.24,21432.77,66090.01,142.80,20241.44,20727366,0.6,2026-02-02 22:59
dBasefold-PCS,25,4,10,e2-highmem-4,20971.34,10558.98,31530.32,117.42,16980.58,52164666,1.4,2026-02-02 16:16
dBasefold-PCS,25,8,10,e2-highmem-4,12704.77,6699.14,19403.92,119.39,14318.75,102637522,3.2,2026-02-02 02:17
dBasefold-PCS,25,16,10,e2-highmem-2,5518.88,3234.28,8753.15,96.86,12091.92,185733426,14.9,2026-02-01 08:19
dBasefold-PCS,26,4,10,e2-highmem-4,44041.52,21513.72,65555.24,141.88,20241.44,62182026,1.0,2026-02-02 16:29
dBasefold-PCS,26,8,10,e2-highmem-4,26188.86,13423.71,39612.57,138.87,16980.58,121717506,3.2,2026-02-02 02:24
dBasefold-PCS,26,16,10,e2-highmem-2,11004.53,5863.95,16868.48,104.73,14318.75,219937506,4.8,2026-02-01 08:23
dBasefold-PCS,27,8,5,e2-highmem-4,62291.29,27307.63,89598.92,163.46,20241.44,145091346,23.5,2026-02-02 01:50
dBasefold-PCS,27,16,10,e2-highmem-2,22393.32,12013.51,34406.83,128.33,16980.58,260823186,10.3,2026-02-01 08:32
dDory-PCS,10,2,10,e2-highmem-8,38.83,238.31,277.14,30.12,16.13,17978,0.9,2026-02-02 22:59
dDory-PCS,10,4,10,e2-highmem-4,27.61,166.47,194.08,28.97,16.13,44208,1.7,2026-02-02 16:29
dDory-PCS,11,2,10,e2-highmem-8,69.04,262.28,331.32,30.44,16.13,18042,3.7,2026-02-02 23:00
dDory-PCS,11,4,10,e2-highmem-4,38.32,254.19,292.51,30.89,18.67,53742,0.9,2026-02-02 16:30
dDory-PCS,11,8,5,e2-highmem-4,55.74,448.28,504.02,86.31,18.67,103208,4.4,2026-02-02 00:42
dDory-PCS,12,2,10,e2-highmem-8,96.07,427.40,523.47,32.74,18.67,21232,4.4,2026-02-02 23:01
dDory-PCS,12,4,10,e2-highmem-4,73.56,276.91,350.48,31.02,18.67,53934,1.2,2026-02-02 16:31
dDory-PCS,12,8,5,e2-highmem-4,52.10,362.93,415.03,44.12,21.20,125430,0.3,2026-02-02 00:43
dDory-PCS,12,16,10,e2-highmem-2,29.87,273.94,303.81,36.13,21.20,221496,2.5,2026-02-01 05:08
dDory-PCS,13,2,10,e2-highmem-8,217.82,475.46,693.27,32.46,18.67,21296,0.7,2026-02-02 23:01
dDory-PCS,13,4,10,e2-highmem-4,99.36,439.42,538.78,33.05,21.20,63468,3.6,2026-02-02 16:32
dDory-PCS,13,8,5,e2-highmem-4,85.00,392.00,476.99,44.66,21.20,125878,4.5,2026-02-02 00:44
dDory-PCS,13,16,10,e2-highmem-2,41.17,376.13,417.30,36.51,23.73,269094,2.2,2026-02-01 05:09
dDory-PCS,14,2,10,e2-highmem-8,345.35,793.40,1138.76,34.76,21.20,24486,0.5,2026-02-02 23:03
dDory-PCS,14,4,10,e2-highmem-4,214.12,484.61,698.73,33.32,21.20,63660,0.6,2026-02-02 16:33
dDory-PCS,14,8,5,e2-highmem-4,136.20,607.59,743.78,47.25,23.73,148100,3.5,2026-02-02 00:46
